title,director,year,runtime,countries,genres,premiere_status,session_date,session_venue,session_time,film_url
ACE,Raymond Edwards,2024,15 mins,New Zealand,"Drama, Adventure",World Premiere,2025-08-14,ACMI,10:30am,https://miff.com.au/program/film/ace
ACE,Raymond Edwards,2024,15 mins,New Zealand,"Drama, Adventure",World Premiere,2025-08-24,Unknown,10:45am,https://miff.com.au/program/film/ace
A Useful Ghost,Ratchapoom Boonbunchachoke,2025,130 mins,Thailand,"Drama, Comedy, Horror",Australian Premiere,2025-08-18,ACMI,11:15am,https://miff.com.au/program/film/a-useful-ghost
A Useful Ghost,Ratchapoom Boonbunchachoke,2025,130 mins,Thailand,"Drama, Comedy, Horror",Australian Premiere,2025-08-20,Forum154 Flinders StreetCutting Through Rocks10:30amIt Was Just an Accident1:00pmEnzo3:30pmPasa Faho6:00pmA Useful Ghost8:45pm A Useful Ghost8:45pm A Useful Ghost8:45pm A Useful Ghost,10:30am,https://miff.com.au/program/film/a-useful-ghost
A Useful Ghost,Ratchapoom Boonbunchachoke,2025,130 mins,Thailand,"Drama, Comedy, Horror",Australian Premiere,2025-08-23,Hoyts 3Level 3,12:45pm,https://miff.com.au/program/film/a-useful-ghost
Common Pear,Gregor Božič,2025,15 mins,"UK, Slovenia","Drama, Sci-Fi",Australian Premiere,2025-08-08,ACMI,1:45pm,https://miff.com.au/program/film/common-pear
Common Pear,Gregor Božič,2025,15 mins,"UK, Slovenia","Drama, Sci-Fi",Australian Premiere,2025-08-18,Unknown,6:00pm,https://miff.com.au/program/film/common-pear
Room 666,Wim Wenders,1982,50 mins,West Germany,Documentary,,2025-08-14,Unknown,6:45pm,https://miff.com.au/program/film/room-666
Silvesterchlausen,Andrew Norman Wilson,2024,12 mins,"USA, Switzerland",Documentary,Australian Premiere,2025-08-10,Unknown,1:15pm,https://miff.com.au/program/film/silvesterchlausen
Silvesterchlausen,Andrew Norman Wilson,2024,12 mins,"USA, Switzerland",Documentary,Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/silvesterchlausen
Dis-moi,Chantal Akerman,1980,45 mins,France,Documentary,,2025-08-18,ACMI,11:00am,https://miff.com.au/program/film/dis-moi
Zodiac Killer Project,Charlie Shackleton,2025,92 mins,"USA, UK","Documentary, Experimental",Australian Premiere,2025-08-13,ACMI,10:30am,https://miff.com.au/program/film/zodiac-killer-project
Zodiac Killer Project,Charlie Shackleton,2025,92 mins,"USA, UK","Documentary, Experimental",Australian Premiere,2025-08-15,Unknown,4:00pm,https://miff.com.au/program/film/zodiac-killer-project
The Secret Agent,Kleber Mendonça Filho,2025,159 mins,"Germany, France, Netherlands, Brazil","Drama, Historical",Victorian Premiere,2025-08-14,Unknown,6:15pm,https://miff.com.au/program/film/the-secret-agent
The Secret Agent,Kleber Mendonça Filho,2025,159 mins,"Germany, France, Netherlands, Brazil","Drama, Historical",Victorian Premiere,2025-08-16,Unknown,3:30pm,https://miff.com.au/program/film/the-secret-agent
The Secret Agent,Kleber Mendonça Filho,2025,159 mins,"Germany, France, Netherlands, Brazil","Drama, Historical",Victorian Premiere,2025-08-23,Forum154 Flinders StreetRomería11:00amImagine1:45pmThe President's Cake4:15pmMr. Nobody Against Putin6:45pmThe Secret Agent9:00pm The Secret Agent9:00pm The Secret Agent9:00pm The Secret Agent,11:00am,https://miff.com.au/program/film/the-secret-agent
The Secret Agent,Kleber Mendonça Filho,2025,159 mins,"Germany, France, Netherlands, Brazil","Drama, Historical",Victorian Premiere,2025-08-24,Hoyts 8/10Level 3,1:00pm,https://miff.com.au/program/film/the-secret-agent
The Wave,Sebastián Lelio,2025,129 mins,Chile,"Drama, Musical",Australian Premiere,2025-08-11,ACMI,10:00am,https://miff.com.au/program/film/the-wave
The Wave,Sebastián Lelio,2025,129 mins,Chile,"Drama, Musical",Australian Premiere,2025-08-14,Forum154 Flinders StreetAdam's Sake10:45amKyuka Before Summer’s End1:00pmStranger Eyes3:30pmRomería6:30pmThe Wave9:15pm The Wave9:15pm The Wave9:15pm The Wave,10:45am,https://miff.com.au/program/film/the-wave
Bloodline,Wojciech Węglarz,2024,12 mins,Poland,Documentary,Australian Premiere,2025-08-10,Unknown,1:15pm,https://miff.com.au/program/film/bloodline
Bloodline,Wojciech Węglarz,2024,12 mins,Poland,Documentary,Australian Premiere,2025-08-19,ACMI,11:15am,https://miff.com.au/program/film/bloodline
