date,film_title,film_id,film_url,venue,time,context
2025-08-09,"Inflatable Bear, Hourly",inflatable-bear-hourly,https://miff.com.au/program/film/inflatable-bear-hourly,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,Leaving Ikorodu In 1999,leaving-ikorodu-in-1999,https://miff.com.au/program/film/leaving-ikorodu-in-1999,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,My Mother Is a Cow,my-mother-is-a-cow,https://miff.com.au/program/film/my-mother-is-a-cow,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,Vox Humana,vox-humana,https://miff.com.au/program/film/vox-humana,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,High Art,high-art,https://miff.com.au/program/film/high-art,ACMI,11:15am,"ACMI 2Federation Square, Flinders StSamsara11:15amThe Sealed Soil1:30pmLittle, Big, and Far3:45pmInternational Shorts 2Bleat!A Brighter Summer Day for the Lady AvengersI’m Glad You’re Dead NowInflatab"
2025-08-09,The Little Sister,the-little-sister,https://miff.com.au/program/film/the-little-sister,Hoyts 11Level 3,6:00pm,"Hoyts 11Level 3, Melbourne Central Shopping Centre,The Little Sister6:00pmLurker8:45pm The Little Sister6:00pm The Little Sister6:00pm The Little Sister "
2025-08-09,Lurker,lurker,https://miff.com.au/program/film/lurker,Hoyts 11Level 3,6:00pm,"Hoyts 11Level 3, Melbourne Central Shopping Centre,The Little Sister6:00pmLurker8:45pm Lurker8:45pm Lurker8:45pm Lurker "
2025-08-09,The Perfect Neighbor,the-perfect-neighbor,https://miff.com.au/program/film/the-perfect-neighbor,Hoyts 8/10Level 3,6:30pm,"Hoyts 8/10Level 3, Melbourne Central Shopping CentreThe Perfect Neighbor6:30pmMove Ya Body: The Birth of House9:15pm The Perfect Neighbor6:30pm The Perfect Neighbor6:30pm The Perfect Neighbor "
2025-08-09,Move Ya Body: The Birth of House,move-ya-body-the-birth-of-house,https://miff.com.au/program/film/move-ya-body-the-birth-of-house,Hoyts 8/10Level 3,6:30pm,"Hoyts 8/10Level 3, Melbourne Central Shopping CentreThe Perfect Neighbor6:30pmMove Ya Body: The Birth of House9:15pm Move Ya Body: The Birth of House9:15pm Move Ya Body: The Birth of House9:15pm Move "
2025-08-09,Sirât,sirat,https://miff.com.au/program/film/sirat,Unknown,6:30pm,"IMAX MelbourneMelbourne Museum Precinct, Rathdowne StSirât6:30pm Sirât6:30pm Sirât6:30pm Sirât "
2025-08-09,Seeds,seeds,https://miff.com.au/program/film/seeds,Unknown,4:00pm,"Kino 1Lower Ground Level, 45 Collins StreetSeeds4:00pmDeaf6:45pmDrunken Noodles9:15pm Seeds4:00pm Seeds4:00pm Seeds "
2025-08-09,Deaf,deaf,https://miff.com.au/program/film/deaf,Unknown,4:00pm,"Kino 1Lower Ground Level, 45 Collins StreetSeeds4:00pmDeaf6:45pmDrunken Noodles9:15pm Deaf6:45pm Deaf6:45pm Deaf "
